category,skill,chapter_number,chapter_title_candidate,difficulty_candidate,item_count_candidate,merge_status,ours_title,other_title,ours_count,other_count,validation_status,validation_note
Defense & Response,Pot Control,4.0,In Position vs Out of Position,Intermediate,0/7,match,In Position vs Out of Position,In Position vs Out of Position,0/7,0/7,unvalidated_or_prior,
Defense & Response,Pot Control,5.0,The Showdown Value Test,Intermediate,0/6,match,The Showdown Value Test,The Showdown Value Test,0/6,0/6,unvalidated_or_prior,
Defense & Response,Pot Control,6.0,Wet Boards and Protection Bets,Intermediate,0/7,match,Wet Boards and Protection Bets,Wet Boards and Protection Bets,0/7,0/7,unvalidated_or_prior,
Defense & Response,Pot Control,7.0,SPR and Pot Control,Advanced,0/8,match,SPR and Pot Control,SPR and Pot Control,0/8,0/8,unvalidated_or_prior,
Defense & Response,Pot Control,8.0,Capping Your Range,Advanced,0/7,match,Capping Your Range,Capping Your Range,0/7,0/7,unvalidated_or_prior,
Defense & Response,Pot Control,9.0,Multiway Pot Control,Advanced,0/7,match,Multiway Pot Control,Multiway Pot Control,0/7,0/7,unvalidated_or_prior,
Defense & Response,Pot Control,10.0,Exploitative Pot Control,Intermediate,0/7,difficulty_filled_from_other;count_filled_or_normalized_from_other,Exploitative Pot Control,Exploitative Pot Control,unknown,0/7,unvalidated_or_prior,
Math & Theory,Pot Odds,1.0,What Pot Odds Are,Beginner,0/7,match,What Pot Odds Are,What Pot Odds Are,0/7,0/7,unvalidated_or_prior,
Math & Theory,Pot Odds,2.0,From Price to Required Equity,Beginner,0/8,match,From Price to Required Equity,From Price to Required Equity,0/8,0/8,unvalidated_or_prior,
Math & Theory,Pot Odds,3.0,Required Equity for Common Bet Sizes,Beginner,0/6,match,Required Equity for Common Bet Sizes,Required Equity for Common Bet Sizes,0/6,0/6,unvalidated_or_prior,
Math & Theory,Pot Odds,4.0,Drawing Hands: Outs and Pot Odds,Intermediate,0/10,match,Drawing Hands: Outs and Pot Odds,Drawing Hands: Outs and Pot Odds,0/10,0/10,unvalidated_or_prior,
Math & Theory,Pot Odds,5.0,Bluff-Catching with Pot Odds,Intermediate,0/8,match,Bluff-Catching with Pot Odds,Bluff-Catching With Pot Odds,0/8,0/8,unvalidated_or_prior,
Math & Theory,Pot Odds,6.0,Implied Odds,Intermediate,0/8,match,Implied Odds,Implied Odds,0/8,0/8,unvalidated_or_prior,
Math & Theory,Pot Odds,7.0,Reverse Implied Odds,Intermediate,0/7,match,Reverse Implied Odds,Reverse Implied Odds,0/7,0/7,unvalidated_or_prior,
Math & Theory,Pot Odds,8.0,Equity vs Pot Share: Why Pot Odds Aren't Enough,Advanced,0/10,match,Equity vs Pot Share: Why Pot Odds Aren't Enough,Equity vs Pot Share: Why Pot Odds Aren't Enough,0/10,0/10,unvalidated_or_prior,
Math & Theory,Pot Odds,9.0,The EV Behind Pot Odds,Advanced,0/9,match,The EV Behind Pot Odds,The EV Behind Pot Odds,0/9,0/9,unvalidated_or_prior,
Math & Theory,Pot Odds,10.0,The Price From the Other Seat: MDF and Bluff Frequency,Advanced,0/9,match,The Price From the Other Seat: MDF and Bluff Frequency,The Price From the Other Seat: MDF and Bluff Frequency,0/9,0/9,unvalidated_or_prior,
Math & Theory,Pot Odds,11.0,Walkthrough: A Combo Draw Across Four Streets,Advanced,0/11,match,Walkthrough: A Combo Draw Across Four Streets,Walkthrough: A Combo Draw Across Four Streets,0/11,0/11,unvalidated_or_prior,
Math & Theory,Implied Odds,1.0,Pot Odds Recap,Beginner,0/7,match,Pot Odds Recap,Pot Odds Recap,0/7,0/7,unvalidated_or_prior,
Math & Theory,Implied Odds,2.0,What Implied Odds Are,Beginner,0/7,match,What Implied Odds Are,What Implied Odds Are,0/7,0/7,unvalidated_or_prior,
Math & Theory,Implied Odds,3.0,When Implied Odds Exist (and When They Are an Illusion),Beginner,0/6,match,When Implied Odds Exist (and When They Are an Illusion),When Implied Odds Exist (and When They Are an Illusion),0/6,0/6,unvalidated_or_prior,
Math & Theory,Implied Odds,4.0,What Makes Implied Odds Big or Small,Intermediate,0/7,match,What Makes Implied Odds Big or Small,What Makes Implied Odds Big or Small,0/7,0/7,unvalidated_or_prior,
Math & Theory,Implied Odds,5.0,Reverse Implied Odds,Intermediate,0/6,match,Reverse Implied Odds,Reverse Implied Odds,0/6,0/6,unvalidated_or_prior,
Math & Theory,Implied Odds,6.0,Implied Odds by Draw Type,Intermediate,0/6,match,Implied Odds by Draw Type,Implied Odds by Draw Type,0/6,0/6,unvalidated_or_prior,
Math & Theory,Implied Odds,7.0,Set Mining,Intermediate,0/6,match,Set Mining,Set Mining,0/6,0/6,unvalidated_or_prior,
Math & Theory,Implied Odds,8.0,Calculating Implied Odds,Advanced,0/7,video_confirmed,Calculating Implied Odds,Calculating Implied Odds,0/7,0/7,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Math & Theory,Implied Odds,9.0,SPR and Stack Depth,Advanced,0/7,video_confirmed,SPR and Stack Depth,SPR and Stack Depth,0/7,0/7,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Math & Theory,Implied Odds,10.0,Implied Odds and Equity Realization,Advanced,0/7,video_confirmed,Implied Odds and Equity Realization,Implied Odds and Equity Realization,0/7,0/7,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Math & Theory,Implied Odds,11.0,Walkthrough: Peeling a Draw on Implied Odds,Advanced,0/10,video_confirmed,Walkthrough: Peeling a Draw on Implied Odds,Walkthrough: Peeling a Draw on Implied Odds,0/10,0/7,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Math & Theory,Reverse Implied Odds,1.0,"Reverse Implied Odds, Defined",Beginner,0/7,match,"Reverse Implied Odds, Defined","Reverse Implied Odds, Defined",0/7,0/7,unvalidated_or_prior,
Math & Theory,Reverse Implied Odds,2.0,The Hands That Carry Reverse Implied Odds,Beginner,0/7,match,The Hands That Carry Reverse Implied Odds,The Hands That Carry Reverse Implied Odds,0/7,0/7,unvalidated_or_prior,
Math & Theory,Reverse Implied Odds,3.0,What Makes Reverse Implied Odds Bigger or Smaller,Intermediate,0/7,match,What Makes Reverse Implied Odds Bigger or Smaller,What Makes Reverse Implied Odds Bigger or Smaller,0/7,0/7,unvalidated_or_prior,
Math & Theory,Reverse Implied Odds,4.0,Adjusting Your Play for Reverse Implied Odds,Intermediate,0/6,match,Adjusting Your Play for Reverse Implied Odds,Adjusting Your Play For Reverse Implied Odds,0/6,0/6,unvalidated_or_prior,
Math & Theory,Reverse Implied Odds,5.0,Preflop Reverse Implied Odds: Domination,Intermediate,0/6,match,Preflop Reverse Implied Odds: Domination,Preflop Reverse Implied Odds: Domination,0/6,0/6,unvalidated_or_prior,
Math & Theory,Reverse Implied Odds,6.0,Putting Numbers on Reverse Implied Odds,Intermediate,0/8,difficulty_conflict_needs_video_check,Putting Numbers on Reverse Implied Odds,Putting Numbers on Reverse Implied Odds,0/8,0/8,unvalidated_or_prior,
Math & Theory,Reverse Implied Odds,7.0,"Way Ahead, Way Behind, and SPR",Advanced,0/7,match,"Way Ahead, Way Behind, and SPR","Way Ahead, Way Behind, and SPR",0/7,0/7,unvalidated_or_prior,
Math & Theory,Reverse Implied Odds,8.0,Reverse Implied Odds as Equity Realization,Advanced,0/7,match,Reverse Implied Odds as Equity Realization,Reverse Implied Odds as Equity Realization,0/7,0/7,unvalidated_or_prior,
Math & Theory,Reverse Implied Odds,9.0,Walkthrough: The Wrong End of the Straight,Advanced,0/11,match,Walkthrough: The Wrong End of the Straight,Walkthrough: The Wrong End of the Straight,0/11,0/11,unvalidated_or_prior,
Math & Theory,Combinatorics,,Combinatorics Lesson Coming Soon,Coming soon,0 drills,match,Combinatorics Lesson Coming Soon,Combinatorics Lesson Coming Soon,0 drills,0 drills,unvalidated_or_prior,
Math & Theory,Equity Realization,,Equity Realization Lesson Coming Soon,Coming soon,0 drills,match,Equity Realization Lesson Coming Soon,Equity Realization Lesson Coming Soon,0 drills,0 drills,unvalidated_or_prior,
Math & Theory,Stack-to-Pot Ratio (SPR),1.0,What SPR Is and How to Calculate It,Beginner,0/7,match,What SPR Is and How to Calculate It,What SPR Is and How to Calculate It,0/7,0/7,unvalidated_or_prior,
Math & Theory,Stack-to-Pot Ratio (SPR),2.0,Hand Strength Is Relative to SPR,Beginner,0/6,match,Hand Strength Is Relative to SPR,Hand Strength is Relative to SPR,0/6,0/6,unvalidated_or_prior,
Math & Theory,Stack-to-Pot Ratio (SPR),3.0,"The SPR Buckets: What Stacks Off at Low, Medium, and High",Beginner,0/6,match,"The SPR Buckets: What Stacks Off at Low, Medium, and High","The SPR Buckets: What Stacks Off at Low, Medium, and High",0/6,0/6,unvalidated_or_prior,
Math & Theory,Stack-to-Pot Ratio (SPR),4.0,How Preflop Action Sets the Flop SPR,Intermediate,0/6,match,How Preflop Action Sets the Flop SPR,How Preflop Action Sets the Flop SPR,0/6,0/6,unvalidated_or_prior,
Math & Theory,Stack-to-Pot Ratio (SPR),5.0,Matching Your Hand to the SPR You Want,Intermediate,0/6,match,Matching Your Hand to the SPR You Want,Matching Your Hand to the SPR You Want,0/6,0/6,unvalidated_or_prior,
Math & Theory,Stack-to-Pot Ratio (SPR),6.0,Playing Low-SPR vs High-SPR Flops,Intermediate,0/7,match,Playing Low-SPR vs High-SPR Flops,Playing Low-SPR vs High-SPR Flops,0/7,0/7,unvalidated_or_prior,
Math & Theory,Stack-to-Pot Ratio (SPR),7.0,The Math Behind SPR: Required Equity and the Path to All-In,Advanced,0/8,video_confirmed,The Math Behind SPR: Required Equity and the Path to All-In,The Math Behind SPR: Required Equity and the Path to All-In,0/8,0/8,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Math & Theory,Stack-to-Pot Ratio (SPR),8.0,Robustness: Why Draws Beat Marginal Made Hands as SPR Rises,Advanced,0/6,video_confirmed,Robustness: Why Draws Beat Marginal Made Hands as SPR Rises,Robustness: Why Draws Beat Marginal Made Hands as SPR Rises,0/6,0/6,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Math & Theory,Stack-to-Pot Ratio (SPR),9.0,SPR in Multiway Pots,Advanced,0/6,video_confirmed,SPR in Multiway Pots,SPR in Multiway Pots,0/6,0/6,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Math & Theory,Stack-to-Pot Ratio (SPR),10.0,Walkthrough: One SPR Runs the Whole Hand,Advanced,0/10,video_confirmed,Walkthrough: One SPR Runs the Whole Hand,Walkthrough: One SPR Runs the Whole Hand,0/10,0/8,confirmed_by_new_screenshot,Archive 4.zip screenshot validation
Math & Theory,Outs and Equity,1.0,What Is an Out,Beginner,0/6,match,What Is an Out,What is an Out,0/6,0/6,unvalidated_or_prior,
Math & Theory,Outs and Equity,2.0,Counting Your Outs,Beginner,0/7,match,Counting Your Outs,Counting Your Outs,0/7,0/7,unvalidated_or_prior,
Math & Theory,Outs and Equity,3.0,What Is Equity,Beginner,0/6,match,What Is Equity,What is Equity,0/6,0/6,unvalidated_or_prior,
Math & Theory,Outs and Equity,4.0,The Rule of 4 and 2,Beginner,0/7,match,The Rule of 4 and 2,The Rule of 4 and 2,0/7,0/7,unvalidated_or_prior,
Math & Theory,Outs and Equity,5.0,Discounting Dirty Outs,Intermediate,0/6,match,Discounting Dirty Outs,Discounting Dirty Outs,0/6,0/6,unvalidated_or_prior,
Math & Theory,Outs and Equity,6.0,Equity vs Pot Odds,Intermediate,0/8,match,Equity vs Pot Odds,Equity vs Pot Odds,0/8,0/8,unvalidated_or_prior,
Math & Theory,Outs and Equity,7.0,Implied and Reverse Implied Odds,Intermediate,0/7,match,Implied and Reverse Implied Odds,Implied and Reverse Implied Odds,0/7,0/7,unvalidated_or_prior,
Math & Theory,Outs and Equity,8.0,Equity Realization,Advanced,0/10,match,Equity Realization,Equity Realization,0/10,0/10,unvalidated_or_prior,
Math & Theory,Outs and Equity,9.0,Range vs Range Equity,Advanced,0/10,match,Range vs Range Equity,Range vs Range Equity,0/10,0/10,unvalidated_or_prior,
Math & Theory,Outs and Equity,10.0,Exact Draw Math,Advanced,0/8,match,Exact Draw Math,Exact Draw Math,0/8,0/8,unvalidated_or_prior,
Math & Theory,Outs and Equity,11.0,Chasing the Nut Flush Draw,Advanced,0/10,match,Chasing the Nut Flush Draw,Chasing the Nut Flush Draw,0/10,0/10,unvalidated_or_prior,
Hand Analysis & Decision Making,Hand Reading,1.0,Thinking in Ranges,Beginner,0/7,match,Thinking in Ranges,Thinking in Ranges,0/7,0/7,unvalidated_or_prior,
Hand Analysis & Decision Making,Hand Reading,2.0,Preflop Range Foundations,Beginner,0/7,match,Preflop Range Foundations,Preflop Range Foundations,0/7,0/7,unvalidated_or_prior,
Hand Analysis & Decision Making,Hand Reading,3.0,Narrowing Through the Streets,Beginner,0/7,match,Narrowing Through the Streets,Narrowing Through the Streets,0/7,0/7,unvalidated_or_prior,
Hand Analysis & Decision Making,Hand Reading,4.0,Board Texture and Range Interaction,Intermediate,0/8,match,Board Texture and Range Interaction,Board Texture and Range Interaction,0/8,0/8,unvalidated_or_prior,
Hand Analysis & Decision Making,Hand Reading,5.0,Combo Counting,Intermediate,0/7,match,Combo Counting,Combo Counting,0/7,0/7,unvalidated_or_prior,
Hand Analysis & Decision Making,Hand Reading,6.0,Bet Sizing as Information,Intermediate,0/8,match,Bet Sizing as Information,Bet Sizing as Information,0/8,0/8,unvalidated_or_prior,
Hand Analysis & Decision Making,Hand Reading,7.0,Capped vs. Uncapped Ranges,Advanced,0/8,difficulty_conflict_needs_video_check,Capped vs. Uncapped Ranges,Capped vs. Uncapped Ranges,0/8,0/8,unvalidated_or_prior,
Hand Analysis & Decision Making,Hand Reading,8.0,River Range Math,Advanced,0/9,match,River Range Math,River Range Math,0/9,0/9,unvalidated_or_prior,
Hand Analysis & Decision Making,Hand Reading,9.0,Multiway and Population Reads,Advanced,0/8,match,Multiway and Population Reads,Multiway and Population Reads,0/8,0/8,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,1.0,What Is a Blocker?,Beginner,0/7,match,What Is a Blocker?,What is a Blocker?,0/7,0/7,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,2.0,Counting Combinations,Beginner,0/8,match,Counting Combinations,Counting Combinations,0/8,0/8,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,3.0,Blockers in Bluff Selection,Intermediate,0/7,count_filled_or_normalized_from_other,Blockers in Bluff Selection,Blockers in Bluff Selection,unknown,0/7,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,4.0,Blockers in Bluff-Catching,Intermediate,0/7,match,Blockers in Bluff-Catching,Blockers in Bluff-Catching,0/7,0/7,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,5.0,Unblockers: The Inverse Concept,Intermediate,0/6,match,Unblockers: The Inverse Concept,Unblockers: The Inverse Concept,0/6,0/6,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,6.0,Preflop Blockers,Intermediate,0/7,count_filled_or_normalized_from_other,Preflop Blockers,Preflop Blockers,unknown,0/7,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,7.0,River Solver Logic,Advanced,0/8,match,River Solver Logic,River Solver Logic,0/8,0/8,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,8.0,Blockers vs Equity Tradeoff,Advanced,0/7,match,Blockers vs Equity Tradeoff,Blockers vs Equity Tradeoff,0/7,0/7,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,9.0,Multiway and ICM Blocker Effects,Advanced,0/8,match,Multiway and ICM Blocker Effects,Multiway and ICM Blocker Effects,0/8,0/8,unvalidated_or_prior,
Hand Analysis & Decision Making,Blockers & Card Removal,10.0,Capstone: A Full Hand Through Blocker Logic,Advanced,0/11,match,Capstone: A Full Hand Through Blocker Logic,Capstone: A Full Hand Through Blocker Logic,0/11,0/11,unvalidated_or_prior,
Hand Analysis & Decision Making,Range Polarization,,Range Polarization Lesson Coming Soon,Coming soon,0 drills,match,Range Polarization Lesson Coming Soon,Range Polarization Lesson Coming Soon,0 drills,0 drills,unvalidated_or_prior,
Positional & Situational,In Position Play,1.0,"What ""In Position"" Actually Means",Beginner,0/6,match,"What ""In Position"" Actually Means","What ""In Position"" Actually Means",0/6,0/6,unvalidated_or_prior,
Positional & Situational,In Position Play,2.0,Who Acts When,Beginner,0/7,match,Who Acts When,Who Acts When,0/7,0/7,unvalidated_or_prior,
Positional & Situational,In Position Play,3.0,Why Position Is Worth Money,Beginner,0/7,match,Why Position Is Worth Money,Why Position is Worth Money,0/7,0/7,unvalidated_or_prior,
Positional & Situational,In Position Play,4.0,Position Sets Your Range,Intermediate,0/6,match,Position Sets Your Range,Position Sets Your Range,0/6,0/6,unvalidated_or_prior,
Positional & Situational,In Position Play,5.0,Playing In Position as the Aggressor,Intermediate,0/6,match,Playing In Position as the Aggressor,Playing In Position as the Aggressor,0/6,0/6,unvalidated_or_prior,
Positional & Situational,In Position Play,6.0,Playing In Position as the Caller,Intermediate,0/6,match,Playing In Position as the Caller,Playing In Position as the Caller,0/6,0/6,unvalidated_or_prior,
Positional & Situational,In Position Play,7.0,Equity Realization: The Number Behind Position,Advanced,0/7,match,Equity Realization: The Number Behind Position,Equity Realization: The Number Behind Position,0/7,0/7,unvalidated_or_prior,
Positional & Situational,In Position Play,8.0,In Position Against Two Callers,Advanced,0/7,match,In Position Against Two Callers,In Position Against Two Callers,0/7,0/7,unvalidated_or_prior,
Positional & Situational,In Position Play,9.0,Walkthrough: Playing a Button Hand Across Every Street,Advanced,0/11,match,Walkthrough: Playing a Button Hand Across Every Street,Walkthrough: Playing a Button Hand Across Every Street,0/11,0/11,unvalidated_or_prior,
Positional & Situational,Out of Position Play,1.0,What Out of Position Means,Beginner,0/7,match,What Out of Position Means,What Out of Position Means,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Out of Position Play,2.0,The Disadvantages of Acting First,Beginner,0/7,match,The Disadvantages of Acting First,The Disadvantages of Acting First,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Out of Position Play,3.0,Adjusting Your Ranges When You Will Be Out of Position,Beginner,0/8,match,Adjusting Your Ranges When You Will Be Out of Position,Adjusting Your Ranges When You Will Be Out of Position,0/8,0/8,unvalidated_or_prior,
Positional & Situational,Out of Position Play,4.0,Defending the Big Blind,Intermediate,0/8,match,Defending the Big Blind,Defending the Big Blind,0/8,0/8,unvalidated_or_prior,
Positional & Situational,Out of Position Play,5.0,C-Betting Out of Position as the Raiser,Intermediate,0/8,match,C-Betting Out of Position as the Raiser,C-Betting Out of Position as the Raiser,0/8,0/8,unvalidated_or_prior,
Positional & Situational,Out of Position Play,6.0,The Check-Raise,Intermediate,0/7,match,The Check-Raise,The Check-Raise,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Out of Position Play,7.0,Bluff-Catching and Pot Control,Intermediate,0/7,title_conflict_needs_video_check,Bluff-Catching and Pot Control,Donk Betting and Leading Ranges,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Out of Position Play,8.0,Range Advantage and Board Texture,Advanced,0/9,title_conflict_needs_video_check;difficulty_conflict_needs_video_check;count_conflict_needs_video_check,Range Advantage and Board Texture,Bluff-Catching and Pot Control,0/9,0/7,unvalidated_or_prior,
Positional & Situational,Out of Position Play,9.0,MDF and Bluff-Catching Math,Advanced,0/9,title_conflict_needs_video_check,MDF and Bluff-Catching Math,Range Advantage and Board Texture,0/9,0/9,unvalidated_or_prior,
Positional & Situational,Out of Position Play,10.0,SPR and Commitment Out of Position,Advanced,0/8,title_conflict_needs_video_check;count_conflict_needs_video_check,SPR and Commitment Out of Position,MDF and Bluff-Catching Math,0/8,0/9,unvalidated_or_prior,
Positional & Situational,Out of Position Play,11.0,A Hand Played From the Big Blind,Advanced,0/10,title_conflict_needs_video_check;count_conflict_needs_video_check,A Hand Played From the Big Blind,SPR and Commitment Out of Position,0/10,0/8,unvalidated_or_prior,
Positional & Situational,Out of Position Play,12.0,A Hand Played From the Big Blind,Advanced,0/10,other_only_fills_gap_needs_validation,,A Hand Played From the Big Blind,,0/10,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,1.0,What Makes Multiway Pots Different,Beginner,0/6,match,What Makes Multiway Pots Different,What Makes Multiway Pots Different,0/6,0/6,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,2.0,How Your Equity Splits,Beginner,0/7,match,How Your Equity Splits,How Your Equity Splits,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,3.0,Choosing Hands for Multiway Pots,Beginner,0/8,match,Choosing Hands for Multiway Pots,Choosing Hands for Multiway Pots,0/8,0/8,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,4.0,Why Bluffing and Range-Betting Break Down,Intermediate,0/7,match,Why Bluffing and Range-Betting Break Down,Why Bluffing and Range-Betting Break Down,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,5.0,C-Betting and Bet Sizing Multiway,Intermediate,0/8,match,C-Betting and Bet Sizing Multiway,C-Betting and Bet Sizing Multiway,0/8,0/8,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,6.0,"Drawing Hands, Nut Potential, and Implied Odds",Intermediate,0/8,match,"Drawing Hands, Nut Potential, and Implied Odds","Drawing Hands, Nut Potential, and Implied Odds",0/8,0/8,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,7.0,"The Combinatorics of ""Someone Hit This Board""",Advanced,0/8,title_conflict_needs_video_check;count_filled_or_normalized_from_other,Reading This Board / Multiway Board Texture,"The Combinatorics of ""Someone Hit This Board""",unknown,0/8,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,8.0,Shared Burden of Defense: MDF Multiway,Advanced,0/8,match,Shared Burden of Defense: MDF Multiway,Shared Burden of Defense: MDF Multiway,0/8,0/8,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,9.0,SPR and Commitment in Bloated Pots,Advanced,0/7,match,SPR and Commitment in Bloated Pots,SPR and Commitment in Bloated Pots,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Multiway Pot Strategy,10.0,Walkthrough: A Nut Draw Through a Three-Way Pot,Advanced,0/10,match,Walkthrough: A Nut Draw Through a Three-Way Pot,Walkthrough: A Nut Draw Through a Three-Way Pot,0/10,0/10,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,1.0,What Is a Drawing Hand,Beginner,0/5,match,What Is a Drawing Hand,What is a Drawing Hand,0/5,0/5,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,2.0,Counting Outs and Estimating Equity,Beginner,0/7,match,Counting Outs and Estimating Equity,Counting Outs and Estimating Equity,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,3.0,Pot Odds: When to Call With a Draw,Beginner,0/6,match,Pot Odds: When to Call With a Draw,Pot Odds: When to Call With a Draw,0/6,0/6,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,4.0,Implied and Reverse Implied Odds,Intermediate,0/7,match,Implied and Reverse Implied Odds,Implied and Reverse Implied Odds,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,5.0,Semi-Bluffing With Draws,Intermediate,0/8,title_conflict_needs_video_check;count_conflict_needs_video_check,Semi-Bluffing With Draws,Preflop Setup: Small Pairs and Suited Connectors,0/8,0/7,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,6.0,Board Texture and Draw Strategy,Intermediate,0/8,title_conflict_needs_video_check,Board Texture and Draw Strategy,Semi-Bluffing With Draws,0/8,0/8,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,7.0,Backdoor Equity in Action,Intermediate,0/6,title_conflict_needs_video_check;count_conflict_needs_video_check,Backdoor Equity in Action,Board Texture and Draw Strategy,0/6,0/8,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,8.0,Combo Draws: The Math of 12+ Outs,Advanced,0/9,title_conflict_needs_video_check;difficulty_conflict_needs_video_check;count_conflict_needs_video_check,Combo Draws: The Math of 12+ Outs,Backdoor Equity in Action,0/9,0/6,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,9.0,Combo Draws: The Math of 12+ Outs,Advanced,0/9,title_conflict_needs_video_check;count_filled_or_normalized_from_other,Drawing in Multiway Pots,Combo Draws: The Math of 12+ Outs,unknown,0/9,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,10.0,Drawing in Multiway Pots,Advanced,0/7,count_filled_or_normalized_from_other,Drawing in Multiway Pots,Drawing in Multiway Pots,unknown,0/7,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,11.0,Blocker Effects With Draws and Missed Draws,Advanced,0/7,match,Blocker Effects With Draws and Missed Draws,Blocker Effects With Draws and Missed Draws,0/7,0/7,unvalidated_or_prior,
Positional & Situational,Drawing Hand Strategy,12.0,SPR and Drawing Decisions,Advanced,0/8,match,SPR and Drawing Decisions,SPR and Drawing Decisions,0/8,0/8,unvalidated_or_prior,
Tournament Strategy,Short Stack Tournament Strategy,,Short Stack Tournament Strategy Lesson Coming Soon,Coming soon,0 drills,match,Short Stack Tournament Strategy Lesson Coming Soon,Short Stack Tournament Strategy Lesson Coming Soon,0 drills,0 drills,unvalidated_or_prior,
Tournament Strategy,ICM & Tournament Pressure,1.0,What ICM Is,Beginner,0/7,video_confirmed,,What ICM Is,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
Tournament Strategy,ICM & Tournament Pressure,2.0,Why Chips Lose Value,Beginner,0/7,video_confirmed,,Why Chips Lose Value,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
Tournament Strategy,ICM & Tournament Pressure,3.0,Payout Structures and Pay Jumps,Beginner,0/7,video_confirmed,,Payout Structures and Pay Jumps,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
Tournament Strategy,ICM & Tournament Pressure,4.0,The Money Bubble,Intermediate,0/7,video_confirmed,,The Money Bubble,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
Tournament Strategy,ICM & Tournament Pressure,5.0,Risk Premium: Passing on Spots You Would Take for Chips,Intermediate,0/7,video_confirmed,,Risk Premium: Passing on Spots You Would Take for Chips,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
Tournament Strategy,ICM & Tournament Pressure,6.0,Stack-Size Dynamics,Intermediate,0/7,video_confirmed,,Stack-Size Dynamics,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
Tournament Strategy,ICM & Tournament Pressure,7.0,Quantifying Risk Premium,Advanced,0/7,video_confirmed,,Quantifying Risk Premium,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
Tournament Strategy,ICM & Tournament Pressure,8.0,Final Table ICM and Pay-Jump Math,Advanced,0/7,video_confirmed,,Final Table ICM and Pay-Jump Math,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
Tournament Strategy,ICM & Tournament Pressure,9.0,Satellites and Extreme ICM,Advanced,0/7,video_confirmed,,Satellites and Extreme ICM,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
Tournament Strategy,ICM & Tournament Pressure,10.0,The Limits of ICM,Advanced,0/7,video_confirmed,,The Limits of ICM,,0/7,confirmed_by_new_screenshot,Archive 4.zip IMG_7922-7924 confirmed ICM order/counts
